title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,gender,website,webform,congress_office,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,birthdate,oc_email,black_caucus,hispanic_caucus,freedom_caucus
Rep,Robert,B.,Aderholt,,,R,AL,4,M,https://aderholt.house.gov,http://aderholt.house.gov/email-me2/,235 Cannon House Office Building,A000055,441,H6AL04098,400004,N00003028,Robert_Aderholt,http://www.opencongress.org/wiki/Robert_Aderholt,7/22/1965,Rep.Aderholt@opencongress.org,0,0,0
Sen,Lamar,,Alexander,,,R,TN,Senior Seat,M,http://www.alexander.senate.gov/public,http://www.alexander.senate.gov/public/index.cfm?p=Email,455 Dirksen Senate Office Building,A000360,15691,S2TN00058,300002,N00009888,SenAlexander,http://www.opencongress.org/wiki/Lamar_Alexander,7/3/1940,Sen.Alexander@opencongress.org,0,0,0
Rep,Justin,,Amash,,,R,MI,3,M,http://amash.house.gov,https://amash.house.gov/contact-me/email-me,114 Cannon House Office Building,A000367,105566,H0MI03126,412438,N00031938,,http://www.opencongress.org/wiki/Justin_Amash,4/18/1980,Rep.Amash@opencongress.org,0,0,1
Sen,Kelly,,Ayotte,,,R,NH,Junior Seat,F,http://www.ayotte.senate.gov,http://www.ayotte.senate.gov/?p=contact,144 Russell Senate Office Building,A000368,42352,S0NH00235,412493,N00030980,KellyAyotte,http://www.opencongress.org/wiki/Kelly_Ayotte,6/27/1968,Sen.Ayotte@opencongress.org,0,0,0
Rep,Mark,E.,Amodei,,,R,NV,2,M,http://amodei.house.gov,https://amodei.house.gov/contact-us,332 Cannon House Office Building,A000369,12537,H2NV02395,412500,N00031177,MarkAmodeiNV2,http://www.opencongress.org/wiki/Mark_Amodei,6/12/1958,Rep.Amodei@opencongress.org,0,0,0
Rep,Alma,,Adams,,,D,NC,12,F,http://adams.house.gov,http://adams.house.gov/contact,222 Cannon House Office Building,A000370,,H4NC12100,412607,N00035451,RepAdams,,5/27/1946,Rep.Adams@opencongress.org,1,0,0
Rep,Pete,,Aguilar,,,D,CA,31,M,https://aguilar.house.gov,,1223 Longworth House Office Building,A000371,,H2CA31125,412615,N00033997,reppeteaguilar,,6/19/1979,Rep.Aguilar@opencongress.org,0,1,0
Rep,Rick,,Allen,,,R,GA,12,M,http://allen.house.gov,,513 Cannon House Office Building,A000372,,H2GA12121,412625,N00033720,reprickallen,,11/7/1951,Rep.Allen@opencongress.org,0,0,0
Rep,Brad,,Ashford,,,D,NE,2,M,https://ashford.house.gov,,107 Cannon House Office Building,A000373,,H4NE02054,412642,N00005293,RepBradAshford,,11/10/1949,Rep.Ashford@opencongress.org,0,0,0
Rep,Ralph,,Abraham,,,R,LA,5,M,https://abraham.house.gov,,417 Cannon House Office Building,A000374,,H4LA05221,412630,N00036633,RepAbraham,,9/16/1954,Rep.Abraham@opencongress.org,0,0,0
Rep,Joe,Linus,Barton,,,R,TX,6,M,http://joebarton.house.gov,https://joebarton.house.gov/contact1/,2107 Rayburn House Office Building,B000213,27082,H4TX06117,400018,N00005656,RepJoeBarton,http://www.opencongress.org/wiki/Joe_Barton,9/15/1949,Rep.Joebarton@opencongress.org,0,0,0
Rep,Xavier,,Becerra,,,D,CA,34,M,http://becerra.house.gov,http://becerraforms.house.gov/forms/writeyourrep/,1226 Longworth House Office Building,B000287,26754,H2CA30143,400021,N00009774,RepBecerra,http://www.opencongress.org/wiki/Xavier_Becerra,1/26/1958,Rep.Becerra@opencongress.org,0,1,0
Rep,Sanford,D.,Bishop,Jr.,,D,GA,2,M,http://bishop.house.gov,http://bishop.house.gov/contact,2407 Rayburn House Office Building,B000490,26817,H2GA02031,400030,N00002674,SanfordBishop,http://www.opencongress.org/wiki/Sanford_Bishop,2/4/1947,Rep.Bishop@opencongress.org,1,0,0
Rep,Earl,,Blumenauer,,,D,OR,3,M,http://blumenauer.house.gov,https://forms.house.gov/blumenauer/webforms/issue_subscribe.html,1111 Longworth House Office Building,B000574,367,H6OR03064,400033,N00007727,BlumenauerMedia,http://www.opencongress.org/wiki/Earl_Blumenauer,8/16/1948,Rep.Blumenauer@opencongress.org,0,0,0
Sen,Roy,,Blunt,,,R,MO,Junior Seat,M,http://www.blunt.senate.gov/public,http://www.blunt.senate.gov/public/index.cfm/contact-form?p=contact-roy,260 Russell Senate Office Building,B000575,418,H6MO07128,400034,N00005195,RoyBlunt,http://www.opencongress.org/wiki/Roy_Blunt,1/10/1950,Sen.Blunt@opencongress.org,0,0,0
Sen,Barbara,,Boxer,,,D,CA,Junior Seat,F,https://www.boxer.senate.gov,https://www.boxer.senate.gov/contact/shareyourviews.html,112 Hart Senate Office Building,B000711,53274,S2CA00286,300011,N00006692,SenatorBoxer,http://www.opencongress.org/wiki/Barbara_Boxer,11/11/1940,Sen.Boxer@opencongress.org,0,0,0
Rep,Kevin,P.,Brady,,,R,TX,8,M,http://kevinbrady.house.gov,https://kevinbrady.house.gov/contact-form,301 Cannon House Office Building,B000755,361,H6TX08100,400046,N00005883,RepKevinBrady,http://www.opencongress.org/wiki/Kevin_Brady,4/11/1955,Rep.Kevinbrady@opencongress.org,0,0,0
Rep,Corrine,,Brown,,,D,FL,5,F,https://corrinebrown.house.gov,https://forms.house.gov/corrinebrown/webforms/contact-me.shtml,2111 Rayburn House Office Building,B000911,26797,H2FL03056,400048,N00002713,RepCorrineBrown,http://www.opencongress.org/wiki/Corrine_Brown,11/11/1946,Rep.Corrinebrown@opencongress.org,1,0,0
Sen,Sherrod,,Brown,,,D,OH,Senior Seat,M,http://www.brown.senate.gov,http://www.brown.senate.gov/contact,713 Hart Senate Office Building,B000944,27018,H2OH13033,400050,N00003535,SenSherrodBrown,http://www.opencongress.org/wiki/Sherrod_Brown,11/9/1952,Sen.Brown@opencongress.org,0,0,0
Sen,Richard,M.,Burr,,,R,NC,Senior Seat,M,http://www.burr.senate.gov,http://www.burr.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm,217 Russell Senate Office Building,B001135,21787,S4NC00089,400054,N00002221,SenatorBurr,http://www.opencongress.org/wiki/Richard_Burr,11/30/1955,Sen.Burr@opencongress.org,0,0,0
Rep,Robert,Alan,Brady,,,D,PA,1,M,http://brady.house.gov,https://brady.house.gov/contact-me/email-me,102 Cannon House Office Building,B001227,2519,H8PA01153,400047,N00001619,RepBrady,http://www.opencongress.org/wiki/Robert_Brady,4/7/1945,Rep.Brady@opencongress.org,0,0,0
Sen,Tammy,,Baldwin,,,D,WI,Junior Seat,F,http://www.baldwin.senate.gov,http://www.baldwin.senate.gov/contact,717 Hart,B001230,3470,H8WI00018,400013,N00004367,SenatorBaldwin,http://www.opencongress.org/wiki/Tammy_Baldwin,2/11/1962,Sen.Baldwin@opencongress.org,0,0,0
Sen,John,,Boozman,,,R,AR,Senior Seat,M,https://www.boozman.senate.gov/public/index.cfm/home,http://www.boozman.senate.gov/public/index.cfm/e-mail-me,141 Hart Senate Office Building,B001236,27958,H2AR03176,400040,N00013873,JohnBoozman,http://www.opencongress.org/wiki/John_Boozman,12/10/1950,Sen.Boozman@opencongress.org,0,0,0
Rep,Marsha,W.,Blackburn,,,R,TN,7,F,http://blackburn.house.gov,https://blackburn.house.gov/contactform/email.htm,2266 Rayburn House Office Building,B001243,25186,H2TN06030,400032,N00003105,MarshaBlackburn,http://www.opencongress.org/wiki/Marsha_Blackburn,6/6/1952,Rep.Blackburn@opencongress.org,0,0,0
Del,Madeleine,Z.,Bordallo,,,D,GU,0,F,http://bordallo.house.gov,https://bordallo.house.gov/contact-me,2441 Rayburn House Office Building,B001245,1751,H2GU00033,400041,N00024866,,http://www.opencongress.org/wiki/Madeline_Bordallo,5/31/1933,Rep.Bordallo@opencongress.org,0,0,0
Rep,Michael,C.,Burgess,,,R,TX,26,M,http://burgess.house.gov,http://burgess.house.gov/contact/356345.htm,2336 Rayburn House Office Building,B001248,50120,H2TX26093,400052,N00025219,MichaelCBurgess,http://www.opencongress.org/wiki/Michael_Burgess,12/23/1950,Rep.Burgess@opencongress.org,0,0,0
Rep,Rob,,Bishop,,,R,UT,1,M,http://robbishop.house.gov,https://robbishop.house.gov/contact/contactform.htm,123 Cannon House Office Building,B001250,50544,H2UT01094,400029,N00025292,RepRobBishop,http://www.opencongress.org/wiki/Rob_Bishop,7/13/1951,Rep.Robbishop@opencongress.org,0,0,0
Rep,George,Kenneth,Butterfield,Jr.,G.K.,D,NC,1,M,http://butterfield.house.gov,https://butterfield.house.gov/email-congressman-butterfield,2305 Rayburn House Office Building,B001251,41077,H4NC01046,400616,N00027035,GKButterfield,http://www.opencongress.org/wiki/George_Butterfield,4/27/1947,Rep.Butterfield@opencongress.org,1,0,0
Rep,Charles,W.,Boustany,Jr.,,R,LA,3,M,http://boustany.house.gov,https://boustanyforms.house.gov/contact-me/,1431 Longworth House Office Building,B001255,35514,H4LA07029,400636,N00026595,RepBoustany,http://www.opencongress.org/wiki/Charles_Boustany,2/21/1956,Rep.Boustany@opencongress.org,0,0,0
Rep,Gus,M.,Bilirakis,,,R,FL,12,M,https://bilirakis.house.gov,https://bilirakis.house.gov/email-congressman-bilirakis/,2112 Rayburn House Office Building,B001257,17318,H6FL09070,412250,N00027462,RepGusBilirakis,http://www.opencongress.org/wiki/Gus_Michael_Bilirakis,2/8/1963,Rep.Bilirakis@opencongress.org,0,0,0
Rep,Vern,,Buchanan,,,R,FL,16,M,https://buchanan.house.gov,https://buchanan.house.gov/email-me,2104 Rayburn House Office Building,B001260,66247,H6FL13148,412196,N00027626,VernBuchanan,http://www.opencongress.org/wiki/Vern_Buchanan,5/8/1951,Rep.Buchanan@opencongress.org,0,0,0
Sen,John,A.,Barrasso,,,R,WY,Junior Seat,M,http://www.barrasso.senate.gov,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=ContactUs.ContactForm,307 Dirksen Senate Office Building,B001261,52662,S6WY00068,412251,N00006236,SenJohnBarrasso,http://www.opencongress.org/wiki/John_Barrasso,7/21/1952,Sen.Barrasso@opencongress.org,0,0,0
Sen,Michael,F.,Bennet,,,D,CO,Senior Seat,M,https://www.bennet.senate.gov,http://www.bennet.senate.gov/contact/email,261 Russell Senate Office Building,B001267,110942,S0CO00211,412330,N00030608,SenBennetCo,http://www.opencongress.org/wiki/Michael_Bennet,11/28/1964,Sen.Bennet@opencongress.org,0,0,0
Rep,Lou,,Barletta,,,R,PA,11,M,http://barletta.house.gov,https://barletta.house.gov/contact/email-me,115 Cannon House Office Building,B001269,47143,H2PA11098,412469,N00025495,RepLouBarletta,http://www.opencongress.org/wiki/Lou_Barletta,1/28/1956,Rep.Barletta@opencongress.org,0,0,0
Rep,Karen,,Bass,,,D,CA,37,F,http://bass.house.gov,https://bass.house.gov/contact-me/email-me,408 Cannon House Office Building,B001270,28963,H0CA33117,412404,N00031877,RepKarenBass,http://www.opencongress.org/wiki/Karen_Bass,10/3/1953,Rep.Bass@opencongress.org,1,0,0
Rep,Dan,,Benishek,,,R,MI,1,M,http://benishek.house.gov,https://benishek.house.gov/contact-me/email-me,514 Cannon House Office Building,B001271,123056,H0MI01088,412436,N00031934,CongressmanDan,http://www.opencongress.org/wiki/Dan_Benishek,4/20/1952,Rep.Benishek@opencongress.org,0,0,0
